id,question,Answers
10,"Can you provide a description for 紅磡雞蛋仔, which is a 街頭小吃?",紅磡雞蛋仔係香港一款好受歡迎嘅街頭小吃。呢款小吃用一種特別嘅模具將麵糊烤成一粒粒圓形嘅小球，外脆內軟，香甜可口。傳統雞蛋仔通常由雞蛋、麵粉、糖同牛奶等材料製成，做好之後會有陣陣蛋香同奶香。雞蛋仔通常係街頭小販用一啲特製嘅雞蛋仔鐵板即場製作，熱辣辣咁賣俾客人。近年嚟，雞蛋仔仲有唔同口味，例如朱古力、抹茶、芝士等，吸引咗唔少遊客同本地人。紅磡雞蛋仔就係指喺紅磡呢個地區販賣嘅雞蛋仔，有啲人認為呢度嘅雞蛋仔特別有特色。
11,"Can you provide a description for Heimat, which is a 德國菜?","""Heimat"" 喺一間位於德國嘅餐廳，佢主要專注於提供德國傳統菜式。呢間餐廳嘅名字 ""Heimat"" 喺德文入面解作「家鄉」，所以餐廳嘅理念就係要為食客帶來一種親切同懷舊嘅感覺。

餐廳嘅菜單可能會包括經典嘅德國菜，例如豬手、香腸、酸菜同埋不同類型嘅啤酒。佢地可能仲會提供一啲地區特色菜，反映唔同德國地區嘅飲食文化。

總體嚟講，Heimat 試圖為食客提供一個傳統同時具現代感嘅用餐體驗，讓人可以享受到正宗嘅德國風味。"
12,"Can you provide a description for 阿純山東餃子, which is a 餃子?",阿純山東餃子係一款來自山東的傳統中式餃子。呢款餃子通常用新鮮嘅豬肉或者牛肉，加上白菜、韭菜或者其他蔬菜作為餡料。餃子皮係用麵粉搓成，口感勁滑，咬落去有彈性。阿純山東餃子可以蒸、煮或者煎食，配合醋、辣椒油或者醬油等調味料更加美味。呢款餃子係山東地區飲食文化嘅一部分，深受當地人同遊客歡迎。
13,"Can you provide a description for 好湯好麵 (大圍), which is a 麵食?",好湯好麵 (大圍) 係一間專注於提供美味麵食嘅餐廳。佢哋嘅招牌係各式各樣嘅湯麵，湯底通常由新鮮材料熬製，味道濃郁。除咗基本嘅豬骨湯同雞湯之外，仲可能有特別嘅選擇，例如麻辣湯底或者海鮮湯底。麵條方面，佢哋可能會提供多種選擇，例如拉麵、烏冬或者米線，迎合唔同客人口味。餐廳嘅環境通常比較簡約舒適，適合朋友同家人一齊食飯。員工服務態度好，令用餐體驗更加愉快。
14,"Can you provide a description for 國金軒 (尖沙咀), which is a 粵菜?",國金軒位於尖沙咀，是一間提供高級粵菜的餐廳。它以精緻的廣東料理而聞名，並以優雅的環境和高品質的服務吸引食客。餐廳的菜單涵蓋多樣化的傳統粵菜，包括精心製作的點心、新鮮海鮮以及各種創新菜式。國金軒致力於運用優質食材，無論是地道的風味還是現代的演繹，都能讓食客感受到粵菜的豐富和精緻。餐廳設計典雅，提供舒適的用餐環境，非常適合商務宴請或慶祝特別場合。
15,"Can you provide a description for 全記海鮮 (海傍街), which is a 海鮮?",全記海鮮係位於香港西貢海傍街嘅一間著名海鮮酒家。呢度以提供新鮮嘅海鮮菜式而聞名，因為鄰近碼頭，所以可以直接獲得當日新鮮打撈上來嘅海鮮。餐廳提供多款地道嘅海鮮烹調方法，例如清蒸、椒鹽、避風塘等。食客可以喺海鮮缸中選擇自己鍾意嘅海鮮，然後交由廚師即場烹調。由於地理位置優越，食客仲可以喺度欣賞到美麗嘅海景，非常適合一家大細或者朋友聚餐。
16,"Can you provide a description for Joyful Dessert House, which is a 街頭小吃?",Joyful Dessert House 係一間專注於甜品嘅街頭小吃店。佢哋提供多款創意甜品，包括手工製作嘅蛋糕、布丁、雪糕同埋其他特色甜品。呢間店鋪以新鮮食材同埋精緻嘅製作工藝聞名，吸引咗唔少甜品愛好者。店內環境舒適，適合朋友聚會同埋享受輕鬆嘅下午茶時光。無論係地道特色定係創新口味，Joyful Dessert House 都能夠滿足你對甜品嘅渴望。
17,"Can you provide a description for 添好運 (深水埗), which is a 點心?","添好運（深水埗）係一間知名嘅點心專門店，主要提供多款傳統廣東點心。呢間餐廳最初由前四季酒店廚師麥桂培創辦，以高質素但平價嘅點心聞名，甚至獲得米芝蓮星級評價。

餐廳嘅環境通常比較簡約，但非常熱鬧，經常都會見到有好多人排隊等候入座。佢哋提供嘅點心款式多樣化，由經典嘅燒賣、蝦餃，到創新嘅酥皮焗叉燒包，都深受顧客喜愛。

深水埗分店位於香港一個充滿本地特色嘅地區，方便遊客喺購物同探索當地文化之餘，順便嚟品嚐正宗嘅廣東點心。"
18,"Can you provide a description for Épure, which is a 法國菜?",Épure 係一間位於香港嘅高級法國餐廳，佢提供精緻嘅法國菜餚。餐廳內部設計典雅，環境優雅舒適，適合享受一個高級嘅用餐體驗。Épure 嘅廚師會用上等嘅食材，創作出既傳統又創新嘅法國美食，並且注重擺盤同味道嘅平衡。餐廳仲有一個豐富嘅酒單，包括多款來自法國嘅佳釀，可以配搭唔同嘅菜式，提升整體嘅用餐體驗。Épure 係一個適合慶祝特別場合或者享受浪漫晚餐嘅地方。
19,"Can you provide a description for Ăn Chơi, which is a 越南菜?","Ăn Chơi 係一間提供越南菜嘅餐廳，佢哋嘅菜式通常都好豐富同地道。越南菜以其清新嘅味道、豐富嘅香草同埋健康嘅食材而聞名。喺Ăn Chơi，你可以搵到各式各樣嘅越南特色菜，例如：   
- **牛肉河粉（Phở Bò）**：一種用牛肉湯底煮成嘅河粉，配以牛肉片、香草同埋蔥。
- **春卷（Gỏi Cuốn）**：用米紙包住蝦、豬肉、米粉同各種香草，食嘅時候可以蘸上花生醬或魚露。
- **越南法包（Bánh Mì）**：一種法式長包夾住烤肉、醃菜、香草同辣椒。
- **檸檬草雞（Gà Nướng Sả）**：用檸檬草同香料醃製嘅烤雞，味道芳香撲鼻。

呢啲菜式都充分展現越南菜清新、均衡同多樣化嘅特點，令人一試難忘。"
20,"Can you provide a description for 德記, which is a 潮州菜?","德記係一間專門提供潮州菜嘅餐廳。潮州菜係中國廣東省潮汕地區嘅特色菜系，以其清淡、精緻同埋注重食材原味聞名。德記嘅菜單通常包括咗多款傳統潮州菜式，例如潮州滷水、蠔仔烙、魚飯、潮州粥同埋多種海鮮料理。

此外，德記亦可能提供潮州風味嘅小食同甜品，例如潮州春卷、芋泥、潮州糖水等。呢間餐廳致力於為顧客提供地道嘅潮州口味，同時亦會講求擺盤同食品嘅質素，令食客能夠享受到正宗嘅潮州美食體驗。"
21,"Can you provide a description for 石記廚房, which is a 粵菜?",石記廚房係一間以粵菜為主嘅餐廳，通常提供各種廣東特色嘅美食。呢度嘅菜式可能包括燒味、點心、海鮮同埋各式炒菜。餐廳通常注重食材新鮮同埋烹調技術，以保持傳統粵菜嘅風味。石記廚房可能仲會提供舒適嘅用餐環境，適合同家人朋友一齊聚餐。
22,"Can you provide a description for 波記, which is a 燒味?",波記係一間以燒味聞名嘅食店，主要提供各式各樣嘅廣東燒味，例如燒鴨、燒豬、燒雞、叉燒等。呢啲燒味通常會搭配白飯或者麵條一齊食，亦可以單獨買嚟做小食。波記嘅燒味以皮脆肉嫩、味道香濃著稱，深受食客喜愛。佢哋通常會用傳統方法燒製，確保每一款燒味都有獨特嘅香味同口感。
23,"Can you provide a description for 美味廚, which is a 粵菜?",美味廚係一間專注於粵菜嘅餐廳。粵菜，即係廣東菜，以其清淡、鮮美、多樣化嘅烹調手法聞名。喺美味廚，你可以品嚐到經典嘅粵菜佳餚，例如燒味拼盤、蒸魚、炒牛河、以及各式海鮮。餐廳注重用料新鮮，烹調精緻，每道菜都力求保持食材嘅原汁原味。無論係家庭聚餐定係商務宴會，美味廚都能提供一個舒適而優雅嘅用餐環境，令客人享受地道而美味嘅粵式料理。
24,"Can you provide a description for Yardbird, which is a 雞肉串燒?",Yardbird係一間位於香港嘅餐廳，專注於提供高質素嘅雞肉串燒。呢間餐廳由2011年開始營業，由Chef Matt Abergel創辦。Yardbird以其創新嘅日式串燒料理聞名，採用全雞各個部位製作成不同口味嘅串燒，包括雞翼、雞腎、雞心、雞皮等等。餐廳嘅環境設計簡約而時尚，帶有濃厚嘅工業風格，提供一個輕鬆而舒適嘅用餐氛圍。除咗雞肉串燒之外，Yardbird亦提供其他創意小食同埋特色飲品，深受本地人同遊客喜愛。
25,"Can you provide a description for 文華廳, which is a 粵菜?",文華廳係香港文華東方酒店入面嘅一間高級粵菜餐廳。呢間餐廳以佢精緻嘅廣東菜而聞名，提供傳統同創新兼備嘅菜式。文華廳嘅裝潢典雅，氣氛高雅，非常適合商務宴請或者慶祝特別場合。廚師團隊採用優質食材，結合傳統烹調技巧，為客人帶嚟獨特而美味嘅飲食體驗。熱門菜式可能包括點心、燒味、海鮮同埋其他經典粵菜。
26,"Can you provide a description for 祥興記 (尖沙咀), which is a 街頭小吃?","祥興記是一間位於尖沙咀的著名街頭小吃店。這家小吃店以其多樣化的小吃選擇和地道的風味而受到當地居民和遊客的喜愛。店舖雖然不大，但總是充滿人潮，尤其是在用餐時間。

祥興記的招牌小吃包括魚蛋、燒賣、腸粉等經典港式小吃。此外，他們還提供一些創新的小吃選擇，滿足不同顧客的口味。小吃價格合理，是在尖沙咀逛街時不容錯過的美食之一。

這家店的氛圍充滿了傳統香港街頭小吃店的活力，服務快速且友善，是品嚐地道港式小吃的絕佳選擇。"
27,"Can you provide a description for 陸羽茶室, which is a 粵菜?",陸羽茶室係位於香港中環既一間具歷史意義嘅粵菜餐廳。佢喺1933年開業，以傳統廣東茶點同粵式佳餚聞名。陸羽茶室保留咗昔日茶樓既特色，裝潢古色古香，充滿懷舊氣息。呢度既點心選擇多樣化，從燒賣、蝦餃到叉燒包都非常受歡迎。餐廳亦供應各式粵菜，如燒味、海鮮同炖湯等。陸羽茶室一直以優質食材同精緻烹調為宗旨，吸引咗唔少本地市民同遊客前來品嚐。
28,"Can you provide a description for 佳佳甜品, which is a 街頭小吃?",佳佳甜品係一間專門提供傳統廣東甜品嘅街頭小吃店。佢哋以手工製作新鮮而美味嘅甜品而聞名，吸引咗唔少街坊同遊客。招牌甜品包括楊枝甘露、紅豆沙、芝麻糊同埋椰汁糕等等。呢啲甜品唔單止味道一流，仲充滿咗懷舊嘅風味，令食客可以重溫昔日嘅廣東甜品文化。佳佳甜品通常會喺繁忙嘅街市或者小巷出現，方便大家即買即食，係享受甜蜜滋味嘅好去處。
29,"Can you provide a description for 劉森記麵家 (福榮街), which is a 麵食?",劉森記麵家位於香港深水埗的福榮街，是一家知名的麵食店。這家店以其傳統的港式麵食而聞名，特別是其招牌的雲吞麵。劉森記麵家的麵條質地彈牙，湯底清甜，而雲吞則以鮮蝦和豬肉製成，皮薄餡多，口感鮮美。此外，他們亦提供多款其他麵食選擇，如牛腩麵、炸醬麵等，深受本地居民和遊客的喜愛。店內環境簡樸，但常常座無虛席，顯示了其受歡迎的程度。這家麵店不僅代表著地道的香港味道，也是深水埗區的飲食地標之一。
30,"Can you provide a description for 香宮, which is a 粵菜?",香宮係一間提供粵菜嘅餐廳，通常位於高級酒店入面。佢哋主打經典嘅廣東菜，包括各式點心、燒味、海鮮同埋精緻嘅中式菜餚。香宮以其優雅嘅用餐環境同高質素嘅服務聞名，適合商務宴請或者家庭聚餐。餐廳重視食材新鮮同烹調技藝，務求帶俾食客正宗同地道嘅粵菜體驗。
31,"Can you provide a description for Tate, which is a 創新菜?",Tate是一間位於香港的高級餐廳，以其創新菜聞名。餐廳由廚師Vicky Lau主理，她以獨特的方式結合法國和亞洲的烹飪技巧。Tate的菜餚以精緻的擺盤和創意的食材搭配著稱，每道菜都像是一件藝術品。餐廳提供的品嚐菜單展示了傳統與現代的融合，並經常根據季節變化來提供新穎的菜式。Tate的用餐環境優雅而舒適，為食客提供了一次獨特的美食體驗。
32,"Can you provide a description for 萬豪金殿, which is a 粵菜?","萬豪金殿係一間提供粵菜嘅高級餐廳，通常位於豪華酒店或度假村內。呢間餐廳以提供傳統同創新嘅廣東菜為特色，菜式精緻，味道豐富。餐廳環境典雅舒適，服務貼心專業，適合舉行商務宴會或家庭聚餐。

萬豪金殿可能會提供多款精選菜式，例如：各式海鮮、燒味拼盤、精緻點心、以及精心炮製嘅湯水。而且，餐廳可能會採用優質食材，確保每道菜都保持高水準。顧客可以期待一個豪華而難忘嘅用餐體驗。"
33,"Can you provide a description for Twist & Buckle (Tsim Sha Tsui), which is a 街頭小吃?",Twist & Buckle 喺尖沙咀嘅一間街頭小吃店，專門提供各式各樣嘅扭扭薯條。呢啲薯條以獨特嘅螺旋形狀聞名，外脆內軟，口感獨特。佢哋會提供唔同口味嘅調味粉或者醬汁畀客人選擇，例如芝士、辣椒或者香草等，令薯條更加美味。由於係街頭小吃，呢度通常都會有啲人排隊，氣氛熱鬧，非常適合邊行街邊享受。
34,"Can you provide a description for 鼎泰豐 (銅鑼灣), which is a 滬菜?",鼎泰豐係一間以台灣菜為主嘅餐廳品牌，唔係滬菜。鼎泰豐係以佢哋嘅小籠包而出名，提供各式台灣小吃同粉麵。位於銅鑼灣嘅鼎泰豐分店亦唔例外，佢哋提供嘅食物種類豐富，環境舒適，服務親切。雖然鼎泰豐唔係專做滬菜，但佢哋嘅菜式都受到廣泛歡迎，尤其係小籠包同台式點心。
35,"Can you provide a description for 利苑酒家 (灣仔), which is a 粵菜?",利苑酒家（灣仔）係一間知名嘅粵菜餐廳，以其高質素嘅廣東菜聞名。餐廳裝潢典雅，提供傳統同時帶有創新嘅粵菜選擇。利苑以其精緻嘅點心、鮮美嘅海鮮菜式同埋精心炮製嘅燒味受食客歡迎。餐廳注重用料新鮮，烹調技術高超，服務亦都非常周到，係一個適合家庭聚會或者商務宴請嘅好地方。無論係經典嘅蒸餃、叉燒，定係更為創新嘅菜式，利苑都能夠滿足唔同食客嘅口味需求。
36,"Can you provide a description for 壹玖捌叁, which is a 中國菜?",壹玖捌叁是一間位於香港的中餐廳，專門提供廣東菜。這間餐廳的名字代表1983年，這可能是餐廳創立的年份或者是象徵某個特別的意義。壹玖捌叁以其精緻的菜式和傳統的廣東風味而聞名，菜單上通常包括各式各樣的點心、燒味和海鮮菜式。餐廳的氛圍典雅，裝潢帶有懷舊的風格，讓客人能夠感受到香港昔日的風情。無論是家庭聚會還是商務宴請，壹玖捌叁都是一個受歡迎的用餐選擇。
37,"Can you provide a description for 竹家, which is a 日本菜?",竹家係一間日本餐廳，專注提供傳統同現代日本料理。餐廳嘅裝潢通常充滿日本風情，例如會用到竹子同木材，營造出一種自然同寧靜嘅氣氛。佢哋嘅菜單可能包括各式各樣嘅壽司、刺身、天婦羅、烤物同拉麵等。竹家亦可能會提供清酒或其他日本酒類，配搭佢哋嘅美食。呢間餐廳以高品質嘅食材同精緻嘅烹調手法而聞名，為食客帶嚟正宗嘅日本味道。
38,"Can you provide a description for Noi by Paulo Airaudo, which is a 意大利菜?",Noi by Paulo Airaudo 係位於香港嘅高級意大利餐廳，由著名主廚Paulo Airaudo創立。呢間餐廳以其創意同精緻嘅意大利菜聞名，結合傳統同現代嘅烹飪手法，為食客帶嚟獨特嘅味覺體驗。餐廳用料講究，選用優質嘅食材，並且經常隨季節變化更新菜單，確保每次都能提供最新鮮同最具創意嘅美食。Noi嘅環境優雅舒適，係一個享受高級用餐體驗嘅好地方。
39,"Can you provide a description for 港灣壹號, which is a 粵菜?","港灣壹號係一間提供高級粵菜嘅餐廳，通常位於香港或者其他主要城市。呢間餐廳以其精緻同埋創新嘅粵式料理而聞名，菜式注重用料新鮮同埋烹調技巧。港灣壹號嘅環境一般都非常優雅，適合商務宴請或者慶祝特別場合。

佢哋可能會提供傳統嘅粵菜如燒味拼盤、鮑魚、燕窩以及精緻嘅點心，亦會有啲以現代手法重新演繹嘅創意菜式。餐廳通常仲會有一個出色嘅酒單，包括世界各地嘅佳釀，讓客人可以配搭出完美嘅飲食體驗。"
40,"Can you provide a description for 坤記煲仔小菜 (皇后大道西), which is a 粵菜?",坤記煲仔小菜位於香港皇后大道西，是一家專門提供傳統粵菜的餐廳，以煲仔飯聞名。這間餐廳的特色在於它的煲仔飯，米飯用砂鍋煮成，飯底煮至香脆，並配上各種豐富的配料，如臘味、雞肉、牛肉等。除了煲仔飯，坤記還提供其他經典的粤式小菜，讓食客可以品嚐到地道的香港風味。餐廳環境簡樸，但充滿懷舊風情，是當地人和遊客都喜歡光顧的地方。
41,"Can you provide a description for 海德花園, which is a 海鮮?",海德花園實際上唔係一種海鮮，而係一個位於香港沙田嘅私人住宅屋苑。呢個屋苑由幾座高層住宅大廈組成，環境優美，有好多家庭住戶居住。如果你想問關於某種海鮮嘅資料，可以提供多啲資料俾我，咁我可以更準確咁去幫你解答。
